probe,delta_dB_x_sys,delta_dB_y_sys,delta_dB_z_sys
01,0.0498636,-0.0896501,0.2204008
02,0.315194,-0.747539,0.4795996
03,-0.5515137,0.589663,-0.1155564
04,-0.185316,0.489125,0.2294674
05,0.7560012,-0.7580916,0.4292775
06,0.236302,-0.763103,0.137489
07,-0.126426,-0.334913,0.4158465
08,-0.742009,0.465299,0.237673
09,-1.2373461,1.3482584,-0.6836792
10,-1.2607439,0.8598283,-0.0247494
11,-0.709989,0.741453,0.4687175
12,-0.207888,0.482927,0.4523363
13,0.196806,0.252758,0.2167581
14,0.909766,-0.5225724,0.3825677
15,0.8062382,-2.3041778,-0.6362585
16,-0.5516888,-3.8741483,-1.7423269
17,0.258131,-2.202984,-0.2009476
